Number,Current,Bucketed,Bucketed Value (to assign),Notes
1,PHC,PHC/PHA,1,
2,NPHC,NPHC,2,
3,IFC,IFC,4,
4,Professional,Other,5,
5,CGC,MGC/UGC,3,
6,IGC,MGC/UGC,3,
7,Panhellenic,PHC/PHA,1,
8,MGC,MGC/UGC,3,
9,ICGC,MGC/UGC,3,
10,USFC,MGC/UGC,3,
11,National Pan-Hellenic Council (NPHC),NPHC,2,
12,United Greek Council (UGC),MGC/UGC,3,
13,"Other (Professional, Service, Co-Ed)",Other,5,
14,"Multicultural Greek Council (MGC, NMGC, NALFO, NAPA)",MGC/UGC,3,
15,National Pan-Hellenic Council (NPHC),NPHC,2,
16,"Other (Professional, Service, Co-Ed)",Other,5,
17,Panhellenic Council,PHC/PHA,1,
18,Interfraternity Council,IFC,4,
19,National Pan-Hellenic Council,NPHC,2,
20,United Sorority & Fraternity Council,MGC/UGC,3,
21,United Council of Fraternities & Sororities,MGC/UGC,3,
22,Alabama Panhellenic Association,PHC/PHA,1,
23,United Greek Council,MGC/UGC,3,
24,Panhellenic Council (PHC),PHC/PHA,1,
25,PAN,PHC/PHA,1,
26,Multicultural Greek Council,MGC/UGC,3,
27,Interfraternity Council (IFC),IFC,4,
28,Local,Other,5,
29,Interfraternity,IFC,4,
30,Intercultural Greek Council,MGC/UGC,3,
31,CPC,PHC/PHA,1,
32,Panhellenic Association,PHC/PHA,1,
33,Professional Greek Council,Other,5,
34,New or Re-activating Greek Organization,Other,5,
35,National Pan-Hellenic,NPHC,2,
36,National Panhellenic Council,NPHC,2,Double checked that this should be NPHC and not PHC/PHA
